pregunta,opcion1,opcion2,opcion3,opcion4,mensaje,correcta
"¿Cuál es la moneda de Colombia?","Peso","Bolivar","Real","Sol","El peso colombiano.","A"
"¿Cuál es la lengua oficial de Colombia?","Portugués","Guaraní","Español","Nahuátl","El español, y en ciertas regiones lengua indígena.","C"
"¿Con qué océanos limita Colombia?","Pacífico y el Indico","Pacífico y el Atlántico","Antártico y el Atlántico","Pacífico y el Ártico","Con el Pacífico y el Atlántico a través del Mar Caribe. ","B"
"¿Cómo se llama el aeropuerto de Bogotá?","Aeropuerto Internacional Ernesto Cortissoz","Aeropuerto Internacional El Dorado","Aeropuerto Internacional Palonegro","Aeropuerto Internacional Camilo Daza ","Aeropuerto Internacional El Dorado.","B"
"¿Cuál es la capital de Colombia?","Bogotá","Cali","Sincelejo","Leticia","Bogotá.","A"
"¿Cuál es la forma de gobierno de Colombia?","República parlamentaria","Monarquía absoluta","Dictadura","República presidencialista","República presidencialista.","D"
"¿Cuál es el departamento más poblado de Colombia?","Antioquia","Valle del Cauca","Cundinamarca","Atlántico","Cundinamarca, con más de 8 millones de habitantes.","C"
"¿En qué municipio se encuentra la catarata del  Salto del Tequendama?","Zipaquirá","Soacha","Facatativá","Girardot","En Soacha.","B"
"¿Qué cordillera atraviesa el territorio colombiano?","Pirineos","Alpes","Andes","Himalaya","La Cordillera de los Andes.","C"
"¿Cuál es la flor nacional de Colombia?","Begonia","Heliconia","Tulipanes","Orquídea","La orquídea.","D"
"¿Quién fundó Santa Marta, capital del departamento Magdalena en Colombia?","Lope de Aguirre","Francisco Pizarro","Hernán Cortés","Rodrigo de Bastidas","Rodrigo de Bastidas.","D"
"¿Cuál es la montaña más alta de Colombia?","Pico Cristóbal Colón","Pico Simón Bolívar","Nevado del Huila","Ritacuba Blanco","El pico Cristóbal Colón, con  5.776 metros.","A"
"¿Cuál es el principal puerto marítimo de Colombia?","Puerto Golfo de Morrosquillo","Puerto de Cartagena","Puerto de Buenaventura","Puerto Nuevo","El Puerto de Buenaventura.","C"
"¿De qué artista es la obra La Mona Lisa a los 12 años?","Fernando Botero","Juan Antonio Roda","Lucy Tejada","Maripaz Jaramillo","De Fernando Botero.","A"
"¿Cuál es el diario de mayor circulación en Colombia?","Extra","El Espectador","El Tiempo","Publimetro","El tiempo.","C"
"¿Qué colombiano escribió la famosa novela romántica María?","Gabriel Garcia Marquez","Jorge Isaacs","Rafael Pombo","José Eustasio Rivera","Jorge Isaacs.","B"
"¿Cuál ha sido el único literato Colombiano galardonado con los premios Cervantes y Príncipe de Asturias?","Fernando Valejo","Candelario Oveso","Álvaro Mutis","Gabriel García Marquéz","Gabriel García Márquez.","D"
"¿Quién fundó la ciudad Santa Fe de Bogotá?","Sebastian de Belalcázar","Gonzalo Jiménez de Quesada","Nicolás Ferdermann","Alonso de Ojeda","Gonzalo Jiménez de Quesada.","B"
"¿Quién propuso el nombre “Colombia” aludiendo a Cristóbal Colón?","Manuela Sáenz","Francisco de Paula Santander ","Antonio Nariño","Simón Bolívar","Simón Bolívar, en la carta de Jamaica.","D"
"¿Cuál es el lago más grande de Colombia?","Lago de Tota","Ciénaga de Zapatosa","Laguna de la Cocha","Ciénaga Grande de Santa Marta","El Lago de Tota, situado a 200 kilómetros de Bogotá.","A"
"¿Quién comandó la primera expedición a lo que hoy es Colombia en 1499?","Juan de la Cosa","Vasco Nuñez de Balboa","Américo Vespucio","Alonso de Ojeda","Alonso de Ojeda.","D"
"¿Cuál fue la primera colonia en continente americano ubicada en el actual territorio de Colombia?","Virreinato de Nueva Granada","Cartagena","Santa Cruz","Mompox","Fue Santa Cruz, la cual no prosperó.","C"
"¿Cómo pasó a llamarse Colombia tras la Constitución de Rionegro?","La gran Colombia","Estados Unidos de Colombia","Confederación Granadina","Republica de Colombia","Estados Unidos de Colombia.","B"
"¿En qué ciudad colombiana se encuentra la Ciudad Perdida?","Santa Marta","Cartagena","Sucre","Valledupar","En Santa Marta.","A"
"¿Qué tratado dio fin a la Guerra de los Mil Días?","Tratado de Pasto","El Armisticio","El Tratado de la Paz de Wisconsin","Tratado de Regularización de la Guerra","El Tratado de la Paz de Wisconsin.","C"
